Player Rank,Player Name,Position,Injury,Games Missed,Player Rank,Team,Cash Earned,Cash Earned Per Game
1,Lonzo Ball,PG,Thigh,6,100,LAL,591144,98524
2,Brook Lopez,C,Back,3,99,MIL,341610,113870
3,Pau Gasol,C,Foot,15,98,POR,420210,28014
4,Reggie Jackson,PG,Back,42,97,DET,8992368,214104
5,DeMarre Carroll,SF,Illness,13,95,BKN,1225988,94306.77
6,Fred VanVleet,PG,Shoulder,16,94,TOR,1742499,108906.19
7,Evan Fournier,SG,Elbow,4,92,ORL,576270,144067.5
8,Nikola Vucevic,C,Ankle,11,90,ORL,3480224,316384
9,Dejounte Murray,PG,Calf,1,89,SAS,26234,26234
10,Kyle Anderson,SF,Heel,6,88,MEM,563860,93976.67
11,Andre Iguodala,SF,Personal,50,87,GSW,10291646,205832.92
12,James Johnson,PF,Illness,9,86,MIA,1624063,180451.44
13,Lauri Markkanen,PF,Groin,15,84,CHI,1197840,79856
14,Taj Gibson,PF,Back,2,83,MIN,254235,127117.5
15,Terry Rozier,PG,Illness,2,82,BOS,1011600,505800
16,Al-Farouq Aminu,PF,Knee,47,81,POR,5282805,112400.11
17,Dennis Schroder,PG,Ankle,1,80,OKC,175142,175142
18,Domantas Sabonis,C,Knee,3,79,IND,119646,39882
19,Serge Ibaka,PF,Knee,14,78,TOR,3681384,262956
20,Trevor Ariza,SF,Groin,7,77,PHX,1033905,147700.71
21,Thaddeus Young,PF,Personal,1,76,IND,145762,145762
22,Brandon Ingram,SF,Ankle,8,75,LAL,985152,123144
23,Andrew Wiggins,SF,Back,9,74,MIN,2641681,293520.11
24,Nicolas Batum,SG,Illness,19,73,CHA,6499620,342085.26
25,Julius Randle,PF,Personal,2,72,NOP,406780,203390
26,Josh Richardson,SF,Concussion,17,71,MIA,1943304,114312
27,Will Barton,SG,Knee,6,70,DEN,1515885,252647.5
28,Dwight Howard,C,Illness,1,69,LAL,28980,28980
29,DeMarcus Cousins,C,Knee,53,68,GSW,2432202,45890.6
30,Myles Turner,C,Illness,10,67,IND,5932200,593220
31,Aaron Gordon,PF,Knee,7,66,ORL,1571136,224448
32,Jusuf Nurkic,C,Leg,66,64,POR,9559377,144839.05
33,Jonas Valanciunas,C,Foot,3,63,TOR,451975,150658.33
